time,tavg,tmin,tmax,prcp,wspd,pres,tsun
1970-01-01,22.5,19.1,26.3,142.0,,1013.0,
1970-02-01,22.9,19.6,26.4,49.0,,1016.0,
1970-03-01,20.7,16.7,24.8,185.0,,1013.0,
1970-04-01,19.4,14.9,23.7,54.0,,1019.0,
1970-05-01,14.6,10.5,18.6,10.0,,1018.0,
1970-06-01,13.7,9.0,18.2,44.0,,1017.0,
1970-07-01,12.8,7.1,18.2,2.0,,1020.0,
1970-08-01,13.3,8.4,18.0,33.0,,1016.0,
1970-09-01,13.8,10.0,18.7,165.0,,1015.0,
1970-10-01,19.2,15.0,23.6,21.0,,1014.0,
1970-11-01,18.8,15.2,22.4,126.0,,1016.0,
1970-12-01,21.5,18.1,25.9,272.0,,1011.0,
1971-01-01,22.2,19.2,25.1,120.0,,1010.5,
1971-02-01,23.2,20.2,26.5,171.0,,1013.3,
1971-03-01,19.5,18.5,25.3,58.0,,1019.9,
1971-04-01,,15.0,23.5,96.6,,,
1971-05-01,14.6,11.6,20.2,76.0,,1014.1,
1971-06-01,12.0,9.0,17.2,68.0,,1020.1,
1971-07-01,10.8,7.4,16.0,23.0,,1020.1,
1971-08-01,12.5,9.0,18.4,114.0,,1015.5,
1971-09-01,15.3,11.8,20.6,51.0,,1015.5,
1971-10-01,,13.9,24.3,1.9,,,
1971-11-01,18.5,14.8,22.3,65.0,,1009.1,
1971-12-01,20.9,17.7,24.5,110.0,,1011.0,
1972-01-01,21.2,18.4,24.4,400.0,,1013.1,
1972-02-01,22.2,19.0,25.8,88.0,,1017.5,
1972-03-01,20.3,17.7,24.2,202.0,,1016.1,
1972-04-01,17.8,14.7,22.6,96.0,,1020.3,
1972-05-01,14.9,12.1,19.2,75.0,,1026.0,
1972-06-01,,9.7,17.7,117.4,,,
1972-07-01,12.0,8.4,17.6,4.0,,1018.1,
1972-08-01,13.8,10.1,18.9,42.0,,1015.3,
1972-09-01,,12.4,21.6,13.7,,,
1972-10-01,,14.1,21.0,174.6,,,
1972-11-01,,15.9,23.1,65.7,,,
1972-12-01,23.2,18.6,27.3,33.0,,1014.1,
1973-01-01,23.5,20.0,26.8,279.0,,1015.7,
1973-02-01,23.2,19.7,26.4,267.0,,1016.3,
1973-03-01,21.3,18.4,25.4,93.9,,,
1973-04-01,19.1,15.6,24.4,79.1,,,
1973-05-01,15.8,12.2,21.7,22.0,,1019.6,
1973-06-01,13.4,10.1,17.4,94.0,,1018.2,
