time,tavg,tmin,tmax,prcp,wspd,pres,tsun
1970-01-01,7.2,,,123.0,,1005.0,
1970-02-01,6.5,,,153.0,,1014.0,
1970-03-01,5.9,,,88.0,,1017.0,
1970-04-01,7.9,,,64.0,,1018.0,
1970-05-01,12.0,,,44.0,,1018.0,
1970-06-01,15.7,,,53.0,,1018.0,
1970-07-01,15.1,,,37.0,,1019.0,
1970-08-01,15.8,,,71.0,,1016.0,
1970-09-01,15.6,,,96.0,,1018.0,
1970-10-01,11.7,,,34.0,,1022.0,
1970-11-01,10.3,,,122.0,,1012.0,
1970-12-01,5.8,,,45.0,,1026.0,
1971-01-01,6.9,,,170.0,,1006.6,
1971-02-01,6.1,,,51.0,,1022.1,
1971-03-01,5.6,,,102.0,,1016.6,
1971-04-01,9.0,,,36.0,,1011.8,
1971-05-01,11.3,,,34.0,,1011.8,
1971-06-01,13.0,,,54.0,,1014.7,
1971-07-01,17.4,,,63.0,,1018.9,
1971-08-01,16.1,,,70.0,,1014.7,
1971-09-01,15.9,,,66.0,,1021.4,
1971-10-01,13.6,,,56.0,,1023.8,
1971-11-01,8.1,,,164.0,,1019.3,
1971-12-01,7.4,,,43.0,,1025.9,
1972-01-01,5.7,,,164.0,,1011.1,
1972-02-01,6.8,,,170.0,,1005.7,
1972-03-01,8.0,,,79.0,,1011.3,
1972-04-01,8.8,,,80.0,,1016.8,
1972-05-01,10.0,,,97.0,,1014.9,
1972-06-01,13.2,,,30.0,,1016.0,
1972-07-01,15.1,,,10.0,,1020.4,
1972-08-01,15.0,,,51.0,,1020.5,
1972-09-01,13.0,,,37.0,,1021.0,
1972-10-01,11.5,,,61.0,,1018.2,
1972-11-01,8.7,,,155.0,,1019.1,
1972-12-01,8.1,,,118.0,,1015.5,
1973-01-01,5.7,,,66.0,,1022.2,
1973-02-01,6.1,,,90.0,,1019.0,
1973-03-01,6.7,,11.1,21.0,,1026.3,
1973-04-01,8.0,,,70.0,,1019.3,
1973-05-01,12.0,,,80.0,,1014.6,
1973-06-01,14.5,,,18.0,,1021.7,
1973-07-01,15.5,,,101.0,,1016.2,
1973-08-01,17.2,,,34.0,,1019.5,
1973-09-01,15.7,,,56.0,,1017.0,
1973-10-01,11.4,,,58.0,,1019.0,
1973-11-01,9.4,,,20.0,,1024.1,
1973-12-01,7.3,,,77.0,,1016.7,
1974-01-01,8.0,,,160.0,,1014.7,
1974-02-01,7.0,,,194.0,,1010.9,
1974-03-01,7.1,,,72.0,,1014.6,
1974-04-01,8.8,,,33.0,,1016.4,
1974-05-01,10.9,,,62.0,,1015.4,
1974-06-01,14.2,,,44.0,,1016.5,
1974-07-01,14.9,,,61.0,,1020.9,
1974-08-01,15.2,,19.2,82.0,,1017.6,
1974-09-01,12.8,,15.8,163.0,,1012.8,
1974-10-01,9.2,,,107.0,,1019.2,
1974-11-01,9.4,,,184.0,,1013.5,
1974-12-01,9.5,,,54.0,,1024.9,
1975-01-01,8.3,,,144.0,,1016.4,
1975-02-01,7.1,,,27.0,,1019.8,
1975-03-01,6.4,,,139.0,,1011.7,
1975-04-01,8.4,,,52.0,,1018.5,
1975-05-01,10.7,,,28.0,,1018.2,
1975-06-01,14.8,,19.7,29.0,,1020.6,
1975-07-01,17.0,,,28.0,,1017.7,
1975-08-01,17.6,,,60.0,,1018.4,
1975-09-01,13.9,,,110.0,,1015.8,
1975-10-01,11.1,,,50.0,,1021.2,
1975-11-01,9.0,,,129.0,,1018.3,
1975-12-01,6.0,,,57.0,,1026.6,
1976-01-01,7.3,,,43.0,,1023.7,
1976-02-01,6.4,,,50.0,,1018.8,
1976-03-01,7.0,,,84.0,,1018.0,
1976-04-01,8.3,,12.8,9.0,,1020.4,
1976-05-01,11.8,,,31.0,,1017.4,
1976-06-01,19.7,,23.2,2.0,,1020.1,
1976-07-01,17.1,,21.7,32.0,,1018.9,
1976-08-01,17.7,12.9,23.4,10.0,,1019.8,
1976-09-01,14.2,,18.1,118.0,,1013.7,
1976-10-01,11.7,,,176.0,,1004.0,
1976-11-01,8.6,,11.2,154.0,,1017.8,
1976-12-01,5.1,,,95.0,,1009.0,
1977-01-01,5.4,,,134.0,,1011.0,
1977-02-01,7.6,,,230.0,,1005.2,
1977-03-01,8.7,5.7,13.1,87.0,,1016.4,
1977-04-01,8.1,,,76.0,,1018.7,
1977-05-01,10.7,,,61.0,,1015.8,
1977-06-01,12.3,,16.8,66.0,,1016.4,
1977-07-01,16.2,,20.4,44.0,,1017.2,
1977-08-01,15.6,,19.9,72.0,,1014.5,
1977-09-01,13.7,,,54.0,,1023.1,
1977-10-01,13.3,,,63.0,,1013.4,
1977-11-01,9.2,,,139.0,,1014.2,
1977-12-01,8.1,,13.9,128.0,,1014.3,
1978-01-01,6.0,,12.5,189.0,,1013.5,4200.0
1978-02-01,6.4,,,129.0,,1005.2,3600.0
1978-03-01,7.9,,14.6,167.0,,1013.8,6720.0
1978-04-01,7.5,,,61.0,,1012.7,8760.0
1978-05-01,11.4,,,21.0,,1017.0,11160.0
1978-06-01,13.2,,,54.0,,1015.7,12060.0
1978-07-01,14.7,,18.8,87.0,,1018.4,9840.0
1978-08-01,14.8,,19.5,21.0,,1020.0,16500.0
1978-09-01,14.8,,19.4,21.0,,1022.2,12480.0
1978-10-01,13.0,,16.9,10.0,,1023.4,8640.0
1978-11-01,10.6,,,31.0,,1025.8,5160.0
1978-12-01,7.7,,,213.0,,1000.7,3060.0
1979-01-01,3.2,,,103.0,,1011.2,5520.0
1979-02-01,5.9,,,174.0,,1009.3,5280.0
1979-03-01,6.9,,,151.0,,1008.3,6240.0
1979-04-01,8.8,,,79.0,,1013.5,9300.0
1979-05-01,10.3,,,98.0,,1015.5,13620.0
1979-06-01,14.1,,,16.0,,1020.4,11580.0
1979-07-01,16.2,,,31.0,,1022.4,13260.0
1979-08-01,15.3,,,85.0,,1016.4,11700.0
1979-09-01,14.1,,,38.0,,1021.3,9720.0
1979-10-01,12.8,,,86.0,,1009.2,8820.0
1979-11-01,9.3,,,110.0,,1018.1,5820.0
1979-12-01,8.4,,,235.0,,1013.5,3600.0
1980-01-01,5.1,,,124.0,,1014.5,3900.0
1980-02-01,8.1,,,89.0,,1018.1,5700.0
1980-03-01,6.7,,,158.0,,1010.4,6000.0
1980-04-01,9.3,,,5.0,,1022.3,11760.0
1980-05-01,11.3,,,65.0,,1014.4,13560.0
1980-06-01,13.8,,,120.0,,1014.5,10440.0
1980-07-01,14.7,,,56.0,,1015.2,9660.0
1980-08-01,16.3,,,67.0,,1017.7,11100.0
1980-09-01,14.8,,,48.0,,1019.4,8820.0
1980-10-01,11.1,,,189.0,,1012.8,7680.0
1980-11-01,7.6,,,109.0,,1017.1,5100.0
1980-12-01,7.4,,,107.0,,1023.0,4560.0
1981-01-01,7.5,,,74.0,,1026.9,4620.0
1981-02-01,5.0,,,69.0,,1020.2,7620.0
1981-03-01,9.3,,,188.0,,1007.4,3600.0
1981-04-01,9.1,,,41.0,,1018.5,8460.0
1981-05-01,11.4,,,161.0,,1008.7,8400.0
1981-06-01,13.6,,,52.0,,1020.4,12120.0
1981-07-01,15.6,,,34.0,,1019.6,10500.0
1981-08-01,16.7,,,27.0,,1021.3,13320.0
1981-09-01,15.4,,,133.0,,1013.5,9300.0
1981-10-01,11.2,,,157.0,,1012.1,5340.0
1981-11-01,9.6,,,38.0,,1025.8,4200.0
1981-12-01,6.7,,,221.0,,1002.7,3240.0
1982-01-01,7.5,,,179.0,,1017.0,2340.0
1982-02-01,7.3,,,95.0,,1016.0,4260.0
1982-03-01,7.8,,,112.0,,1018.5,8340.0
1982-04-01,9.1,,13.1,43.0,,1021.0,13980.0
1982-05-01,11.7,,15.9,76.0,,1018.2,11820.0
1982-06-01,14.8,,,92.0,,1014.1,10200.0
1982-07-01,16.4,,20.5,63.0,,1018.4,12300.0
1982-08-01,15.8,,,58.0,,1017.4,9720.0
1982-09-01,15.6,,,78.0,,1016.0,10020.0
1982-10-01,11.7,,,250.0,,1011.0,5340.0
1982-11-01,9.8,,,214.0,,1012.5,4740.0
1982-12-01,7.5,,,203.0,,1014.6,2280.0
1983-01-01,8.2,,,87.0,,1028.9,3180.0
1983-02-01,4.3,,,120.0,,1018.5,5520.0
1983-03-01,7.8,,,69.0,,1020.5,5400.0
1983-04-01,7.8,,,138.0,,1007.9,9480.0
1983-05-01,10.6,,,135.0,,1007.8,10740.0
1983-06-01,14.7,,,11.0,,1020.7,12480.0
1983-07-01,19.4,,,17.0,,1017.4,15240.0
1983-08-01,17.4,,,29.0,,1019.2,14760.0
1983-09-01,15.3,,,102.0,,1015.1,8460.0
1983-10-01,12.2,,,63.0,,1021.1,6540.0
1983-11-01,9.8,,,49.0,,1016.3,5760.0
1983-12-01,7.9,,,117.0,,1013.1,5340.0
1984-01-01,7.0,,,253.0,,1012.8,3660.0
1984-02-01,5.9,,,90.0,,1022.2,5520.0
1984-03-01,6.1,,,116.0,,1014.9,6540.0
1984-04-01,10.4,,,5.0,,1018.4,16800.0
1984-05-01,10.0,,,96.0,,1010.8,9960.0
